employee_id,age,is_hce,deferral_pretax,deferral_roth,catchup_amount,violation_type,recommended_fix,issue_category,severity,correction_hint,run_id,plan_name,plan_year
E001,53,True,1800.0,0.0,0.0,Potential catch-up coded in base deferral source,Review age 50+ deferrals to confirm whether catch-up amounts are tracked separately from base deferrals.,Secure 2.0,Medium,Review payroll source mapping to confirm catch-up contributions are tracked in a separate source from base deferrals. Recode catch-up dollars into the appropriate catch-up source to ensure proper tracking and compliance.,030e61b4-e5d5-40ea-9f38-4994d4958d94,Demo Plan,2024
E001,54,True,1800.0,0.0,0.0,Potential catch-up coded in base deferral source,Review age 50+ deferrals to confirm whether catch-up amounts are tracked separately from base deferrals.,Secure 2.0,Medium,Review payroll source mapping to confirm catch-up contributions are tracked in a separate source from base deferrals. Recode catch-up dollars into the appropriate catch-up source to ensure proper tracking and compliance.,030e61b4-e5d5-40ea-9f38-4994d4958d94,Demo Plan,2024
E001,54,True,1800.0,0.0,0.0,Potential catch-up coded in base deferral source,Review age 50+ deferrals to confirm whether catch-up amounts are tracked separately from base deferrals.,Secure 2.0,Medium,Review payroll source mapping to confirm catch-up contributions are tracked in a separate source from base deferrals. Recode catch-up dollars into the appropriate catch-up source to ensure proper tracking and compliance.,030e61b4-e5d5-40ea-9f38-4994d4958d94,Demo Plan,2024
E004,55,True,19000.0,0.0,500.0,HCE catch-up not coded as Roth,Confirm Secure 2.0 HCE Roth requirement; reclassify HCE catch-up to Roth source if needed.,Secure 2.0,High,Review HCE catch-up contribution configuration and ensure all HCE catch-up amounts are coded as Roth contributions per Secure 2.0 requirements. Coordinate with payroll and recordkeeper to correct source coding and consult plan document provisions as needed.,030e61b4-e5d5-40ea-9f38-4994d4958d94,Demo Plan,2024
E004,55,True,19000.0,0.0,500.0,HCE catch-up not coded as Roth,Confirm Secure 2.0 HCE Roth requirement; reclassify HCE catch-up to Roth source if needed.,Secure 2.0,High,Review HCE catch-up contribution configuration and ensure all HCE catch-up amounts are coded as Roth contributions per Secure 2.0 requirements. Coordinate with payroll and recordkeeper to correct source coding and consult plan document provisions as needed.,030e61b4-e5d5-40ea-9f38-4994d4958d94,Demo Plan,2024
E004,55,True,19000.0,0.0,500.0,HCE catch-up not coded as Roth,Confirm Secure 2.0 HCE Roth requirement; reclassify HCE catch-up to Roth source if needed.,Secure 2.0,High,Review HCE catch-up contribution configuration and ensure all HCE catch-up amounts are coded as Roth contributions per Secure 2.0 requirements. Coordinate with payroll and recordkeeper to correct source coding and consult plan document provisions as needed.,030e61b4-e5d5-40ea-9f38-4994d4958d94,Demo Plan,2024
E008,53,True,500.0,500.0,0.0,Potential catch-up coded in base deferral source,Review age 50+ deferrals to confirm whether catch-up amounts are tracked separately from base deferrals.,Secure 2.0,Medium,Review payroll source mapping to confirm catch-up contributions are tracked in a separate source from base deferrals. Recode catch-up dollars into the appropriate catch-up source to ensure proper tracking and compliance.,030e61b4-e5d5-40ea-9f38-4994d4958d94,Demo Plan,2024
E008,53,True,500.0,500.0,0.0,Potential catch-up coded in base deferral source,Review age 50+ deferrals to confirm whether catch-up amounts are tracked separately from base deferrals.,Secure 2.0,Medium,Review payroll source mapping to confirm catch-up contributions are tracked in a separate source from base deferrals. Recode catch-up dollars into the appropriate catch-up source to ensure proper tracking and compliance.,030e61b4-e5d5-40ea-9f38-4994d4958d94,Demo Plan,2024
E009,58,False,24000.0,0.0,0.0,Potential catch-up coded in base deferral source,Review age 50+ deferrals to confirm whether catch-up amounts are tracked separately from base deferrals.,Secure 2.0,Medium,Review payroll source mapping to confirm catch-up contributions are tracked in a separate source from base deferrals. Recode catch-up dollars into the appropriate catch-up source to ensure proper tracking and compliance.,030e61b4-e5d5-40ea-9f38-4994d4958d94,Demo Plan,2024
E009,58,False,24000.0,0.0,0.0,Potential catch-up coded in base deferral source,Review age 50+ deferrals to confirm whether catch-up amounts are tracked separately from base deferrals.,Secure 2.0,Medium,Review payroll source mapping to confirm catch-up contributions are tracked in a separate source from base deferrals. Recode catch-up dollars into the appropriate catch-up source to ensure proper tracking and compliance.,030e61b4-e5d5-40ea-9f38-4994d4958d94,Demo Plan,2024
