employee_id,amount_payroll,pay_date,amount_rk,_merge
E1000,,,0.0,right_only
E1001,,,0.0,right_only
E1002,,,0.0,right_only
E1003,,,0.0,right_only
E1004,,,0.0,right_only
E1005,,,0.0,right_only
E1006,,,0.0,right_only
E1007,,,0.0,right_only
E1008,,,0.0,right_only
E1009,,,0.0,right_only
E1010,,,0.0,right_only
E1011,,,0.0,right_only
E1012,,,0.0,right_only
E1013,,,0.0,right_only
E1014,,,0.0,right_only
E1015,,,0.0,right_only
E1016,,,0.0,right_only
E1017,,,0.0,right_only
E1018,,,0.0,right_only
E1019,,,0.0,right_only
E1020,,,0.0,right_only
E1021,,,0.0,right_only
E1022,,,0.0,right_only
E1023,,,0.0,right_only
E1024,,,0.0,right_only
E1025,,,0.0,right_only
E1026,,,0.0,right_only
E1027,,,0.0,right_only
E1028,,,0.0,right_only
E1029,,,0.0,right_only
E1030,,,0.0,right_only
E1031,,,0.0,right_only
E1032,,,0.0,right_only
E1033,,,0.0,right_only
E1034,,,0.0,right_only
E1035,,,0.0,right_only
E1036,,,0.0,right_only
E1037,,,0.0,right_only
E1038,,,0.0,right_only
E1039,,,0.0,right_only
