employee_id,pay_date,EE Deferral $,EE Roth $,loan_amount
E1000,2025-01-03,106.18,25.50,0.0
E1000,2025-01-17,192.61,0.0,0.0
E1000,2025-01-31,159.80,0.0,0.0
E1001,2025-01-03,58.71,0.0,0.0
E1001,2025-01-17,179.93,15.00,0.0
E1001,2025-01-31,140.17,0.0,0.0
E1002,2025-01-03,174.87,0.0,50.00
E1002,2025-01-17,81.85,0.0,0.0
E1002,2025-01-31,77.27,0.0,0.0
E1003,2025-01-03,114.79,0.0,0.0
E1003,2025-01-17,93.68,30.00,0.0
E1003,2025-01-31,141.78,0.0,0.0
E1004,2025-01-03,118.41,0.0,0.0
E1004,2025-01-17,167.78,0.0,25.00
E1004,2025-01-31,79.95,0.0,0.0
E1005,2025-01-03,95.50,0.0,0.0
E1005,2025-01-17,120.30,20.00,0.0
E1005,2025-01-31,88.45,0.0,0.0

