employee_id,deposit_date,EE Deferral $,EE Roth $,loan_amount
E1000,2025-01-06,106.18,25.50,0.0
E1000,2025-01-20,192.61,0.0,0.0
E1000,2025-02-03,159.80,0.0,0.0
E1001,2025-01-06,58.71,0.0,0.0
E1001,2025-01-20,179.93,15.00,0.0
E1001,2025-02-03,140.17,0.0,0.0
E1002,2025-01-06,174.87,0.0,50.00
E1002,2025-01-20,81.85,0.0,0.0
E1002,2025-02-03,77.27,0.0,0.0
E1003,2025-01-06,114.79,0.0,0.0
E1003,2025-01-20,93.68,30.00,0.0
E1003,2025-02-03,141.78,0.0,0.0
E1004,2025-01-06,118.41,0.0,0.0
E1004,2025-01-20,167.78,0.0,25.00
E1004,2025-02-03,79.95,0.0,0.0
E1005,2025-01-06,95.50,0.0,0.0
E1005,2025-01-20,120.30,20.00,0.0
E1005,2025-02-03,88.45,0.0,0.0

